"mall_or_street","mall_or_street_name","merchant_category","merchant_name","address"
"Street","Telok Ayer Street","RETAIL","ATELIER HAIR AND BEAUTY","111 TELOK AYER STREET SINGAPORE 068589"
"In-Mall & Building","Tampines Mall","RETAIL","ATRIX","4 TAMPINES CENTRAL 5 #03-06 SINGAPORE 529510"
"In-Mall & Building","Bugis Junction","RETAIL","ATRIX ","200 VICTORIA STREET #03-03/04 SINGAPORE 188021"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","AU CROISSANT","83 PUNGGOL CENTRAL #01-K16 SINGAPORE 828761"
"Street","Stanley Street","RESTAURANT","AU MARIAGE","10 STANLEY STREET #02-01 SINGAPORE 068729"
"Street","Mosque Street","RETAIL","AUGUST HAIR SALON","36A MOSQUE STREET #02-01 SINGAPORE 059514"
"In-Mall & Building","Plaza Singapura","RESTAURANT","AUNTIE ANNE'S","68 ORCHARD ROAD #B2-37 SINGAPORE 238839"
"In-Mall & Building","The Woodleigh Mall","RESTAURANT","AUNTIE ANNE'S","11 BIDADARI PARK DRIVE #B1-K22 SINGAPORE 367803"
"In-Mall & Building","Parkway Parade","RESTAURANT","AUNTIE ANNE'S","80 MARINE PARADE ROAD #B1-08 SINGAPORE 449269"
"In-Mall & Building","NEX","RESTAURANT","AUNTIE ANNE'S","23 SERANGOON CENTRAL #03-K10 SINGAPORE 556083"
"In-Mall & Building","Northpoint City","RESTAURANT","AUNTIE ANNE'S","930 YISHUN AVENUE 2 #B1-25 SINGAPORE 769098"
"In-Mall & Building","Punggol Waterway Point","RESTAURANT","AUNTIE ANNE'S","83 PUNGGOL CENTRAL #B1-K13A SINGAPORE 828761"
"In-Mall & Building","Bugis Junction","RESTAURANT","AUNTIE ANNE'S ","200 VICTORIA STREET #B1-K05A BUGIS JUNCTION SINGAPORE 188021"
"In-Mall & Building","Marina Bay Link Mall","RETAIL","AURA","8A MARINA BOULEVARD #B2-53 SINGAPORE 018984"
"Street","Joo Chiat Road","RETAIL","AV- INTELLIGENCE","366 JOO CHIAT ROAD SINGAPORE 427611"
"In-Mall & Building","IMM Building","RETAIL","AVE OUTLET","2 JURONG EAST ST 21 #02-02 SINGAPORE 609601"
"In-Mall & Building","Tampines Mall","RETAIL","AVENUE","4 TAMPINES CENTRAL 5 #02-20/21 SINGAPORE 529510"
"In-Mall & Building","Northpoint City","RETAIL","AVENUE","930 YISHUN AVENUE 2 #02-30 SINGAPORE 769098"
"In-Mall & Building","Westgate","RETAIL","AVINICHI","3 GATEWAY DRIVE #03-17 SINGAPORE 608532"
"In-Mall & Building","Bedok Mall","RESTAURANT","AVOCADORIA","311 NEW UPPER CHANGI ROAD B2-09 SINGAPORE 467360"
"In-Mall & Building","The Star Vista","RESTAURANT","AWFULLY CHOCOLATE","1 VISTA EXCHANGE GREEN #02-18 SINGAPORE 138617"
"Street","East Coast Road","RESTAURANT","AWFULLY CHOCOLATE","131 EAST COAST ROAD SINGAPORE 428816"
"Street","North Bridge Road","RETAIL","AYANA ","883 NORTH BRIDGE ROAD #01-01 SINGAPORE 198785"
"Street","Bussorah Street","RESTAURANT","AYASOFYA TURKISH RESTAURANT","51 BUSSORAH STREET SINGAPORE 199467"
"In-Mall & Building","Plaza Singapura","RETAIL","B.S.MOEY-CHONG OPTOM & C L PRAC P/L","68 ORCHARD ROAD #03-73A SINGAPORE 238839"
